name,category,address,open_website,phone_number,open_hours,open_hours_updated,reviews_count,rating,main_image,url,country
Cafe Largo,Cafe,"1 Chome-37-3 Ominedai, Hashimoto, Wakayama 648-0005, Japan",http://cafe-largo.on.omisenomikata.jp/,+81 736-37-2851,"{""Friday"":""9 AM–5 PM"",""Monday"":""9 AM–5 PM"",""Saturday"":""9 AM–5 PM"",""Sunday"":""9 AM–5 PM"",""Thursday"":""Closed"",""Tuesday"":""9 AM–5 PM"",""Wednesday"":""9 AM–5 PM""}",Closed ⋅ Opens 9 AM,54.0,3.9,https://lh5.googleusercontent.com/p/AF1QipNPT6CjkooDABViRxBl8tOtxBR7q7JravRUqpyO=w80-h106-k-no,https://www.google.com/maps/place/Cafe%20Largo/data=!4m7!3m6!1s0x6006d5de4b6390f5:0x4c5b663f32cfa71e!8m2!3d34.3494952!4d135.6212917!16s/g/1tfz01wk!19sChIJ9ZBjS97VBmARHqfPMj9mW0w?authuser=0&hl=en&rclk=1,JP
Redbox,Movie rental kiosk,"5500 Thomasville Rd, Tallahassee, FL 32312",redbox.com,+18667332693,,,1.0,5.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MwO4ZlRis8LwE_o4p0kfnw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=121.65038&pitch=0&thumbfov=100,"https://www.google.com/maps/place/Redbox/@30.5447911,-84.2288042,17z/data=!3m1!4b1!4m6!3m5!1s0x88ec59acaa200d17:0xf7280d446ca3b91c!8m2!3d30.5447911!4d-84.2288042!16s%2Fg%2F1tjtk2v2?hl=en",US
Bay Area Roof Cleaning Co.,Pressure washing service,"5109 Drury Ct, New Port Richey, FL 34653",,(727) 389-2687,"{""Friday"":""7 AM–7 PM"",""Monday"":""7 AM–7 PM"",""Saturday"":""7 AM–7 PM"",""Sunday"":""Closed"",""Thursday"":""7 AM–7 PM"",""Tuesday"":""7 AM–7 PM"",""Wednesday"":""7 AM–7 PM""}",Closed ⋅ Opens 7 AM,7.0,4.4,https://lh5.googleusercontent.com/p/AF1QipM19kmLf49kU76fX-S0YoFn-pM2nw44AcVB73t3=w204-h92-k-no,https://www.google.com/maps/place/Bay%20Area%20Roof%20Cleaning%20Co./data=!4m7!3m6!1s0x88c2b6551a9e5a47:0x87ae7198d2507fc0!8m2!3d28.233204399999998!4d-82.67900619999999!16s/g/1tg4m4tz!19sChIJR1qeGlW2wogRwH9Q0phxroc?authuser=0&hl=en&rclk=1,US
"Comerford Law Office, LLC",Law firm,"111 E Main St #201, Jonesborough, TN 37659",https://getvalawyer.com/,(423) 269-2222,"{""Friday"":""8 AM–5 PM"",""Monday"":""8 AM–5 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""8 AM–5 PM"",""Tuesday"":""8 AM–5 PM"",""Wednesday"":""8 AM–5 PM""}",Open ⋅ Closes 5 PM,4.0,5.0,https://lh5.googleusercontent.com/p/AF1QipMQbqx4PjfSq3ePMFok6c5gigmVNmsZQC_X3Zwo=w241-h92-k-no,"https://www.google.com/maps/place/Comerford%20Law%20Office,%20LLC/data=!4m7!3m6!1s0x885a6363e0193cf5:0x7b21d9ca67b48da4!8m2!3d36.294397599999996!4d-82.4731676!16s/g/11rv7t8fdc!19sChIJ9TwZ4GNjWogRpI20Z8rZIXs?authuser=0&hl=en&rclk=1",US
Dan Marsh - State Farm Insurance Agent,Auto insurance agency,"1407 W Foothill Blvd, Upland, CA 91786",http://www.danmarsh.net/?cmpid=b8gg_blm_0001,(909) 608-7000,"{""Friday"":""9 AM–5 PM"",""Monday"":""9 AM–5 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""9 AM–5 PM"",""Tuesday"":""9 AM–5 PM"",""Wednesday"":""9 AM–5 PM""}",Open ⋅ Closes 5 PM,23.0,4.8,https://lh5.googleusercontent.com/p/AF1QipMaYBmb5nxawyWu4crFSbZrfQrqoENGJfIuE9Kp=w248-h92-k-no,https://www.google.com/maps/place/Dan%20Marsh%20-%20State%20Farm%20Insurance%20Agent/data=!4m7!3m6!1s0x80c33168858184d7:0x843836b70092bad!8m2!3d34.107479!4d-117.67546899999999!16s/g/1tjrq7ln!19sChIJ14SBhWgxw4ARrSsJcGuDQwg?authuser=0&hl=en&rclk=1,US
KOSIR Kościerski Ośrodek Sportu i Rekreacji,Sports complex,"Kamienna 7, 83-400 Kościerzyna, Poland",http://kosir.koscierzyna.gda.pl/,+48 58 580 00 13,"{""Friday"":""7:30 AM–3:30 PM"",""Monday"":""7:30 AM–3:30 PM"",""Saturday"":""Closed"",""Sunday"":""7:30 AM–3:30 PM"",""Thursday"":""7:30 AM–3:30 PM"",""Tuesday"":""7:30 AM–3:30 PM"",""Wednesday"":""7:30 AM–3:30 PM""}",Closed ⋅ Opens 7:30 AM Tue,29.0,4.1,https://lh5.googleusercontent.com/p/AF1QipOPaRFYImjbYin3p3uHNrw1onpWPE0sEjmI07Oi=w122-h92-k-no,https://www.google.com/maps/place/KOSIR%20Ko%C5%9Bcierski%20O%C5%9Brodek%20Sportu%20i%20Rekreacji/data=!4m7!3m6!1s0x470277c50c298a05:0xe99b35886de4deb3!8m2!3d54.125999799999995!4d17.9872248!16s/g/11hcqckvhn!19sChIJBYopDMV3AkcRs97kbYg1m-k?authuser=0&hl=en&rclk=1,PL
Jocelyn & Cinta's Bake Shop - Catering Wedding Cakes - Donuts Cookies - Bread - Pie Shop,Bakery,"150 Main St, Newport, VT 05855",,+18023344034,"""{\""Friday\"":\""9AM to 3PM\"",\""Monday (Memorial Day)\"":\""9AM to 3PM\"",\""Saturday\"":\""9AM to 3PM\"",\""Sunday\"":\""Closed\"",\""Thursday\"":\""9AM to 3PM\"",\""Tuesday\"":\""9AM to 3PM\"",\""Wednesday\"":\""9AM to 3PM\""}""",,7.0,4.9,https://lh5.googleusercontent.com/p/AF1QipPCIFMsnW_unneHMmvVi8BcZochx05Cr9Js4wti=w408-h307-k-no,"https://www.google.com/maps/place/Jocelyn+%26+Cinta's+Bake+Shop+-+Catering+Wedding+Cakes+-+Donuts+Cookies+-+Bread+-+Pie+Shop/@44.9360889,-72.2093206,17z/data=!3m1!4b1!4m6!3m5!1s0x4cb67194229b92bf:0x567aaa21dba92c7e!8m2!3d44.9359761!4d-72.2092461!16s%2Fg%2F11bzx2pdxr",US
ACM Accident Repair Centre Body Shop,Vehicle Repair,"Unit 3 Graiseley Row, Wolverhampton WV2 4HL",,07907 103933,"{""Friday"":""9 am–6 pm"",""Monday"":""9 am–6 pm"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""9 am–6 pm"",""Tuesday"":""9 am–6 pm"",""Wednesday"":""9 am–6 pm""}",Closed ⋅ Opens 9 am Mon,10.0,4.4,https://lh5.googleusercontent.com/p/AF1QipMgIpHdHruKCURy5ThlctitBwUSwC_h3HuA-gU=w80-h106-k-no,https://www.google.com/maps/place/ACM%20Accident%20Repair%20Centre%20Body%20Shop/data=!4m7!3m6!1s0x48709b06df120965:0xa84711f3ebb64449!8m2!3d52.577352!4d-2.1310675!16s/g/11l_gx5vyx!19sChIJZQkS3wabcEgRSUS26_MRR6g?authuser=0&hl=en&rclk=1,GB
Arya Therapy Services,Mental health clinic,"Inside House of Triad Salon & Spa Suites D & E, 7004 Pine Forest Rd, Pensacola, FL 32526",http://www.aryatherapy.com/,(850) 359-1305,"{""Friday"":""Closed"",""Monday"":""Closed"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""10 AM–5 PM"",""Tuesday"":""10 AM–5 PM"",""Wednesday"":""10 AM–5 PM""}",Closed ⋅ Opens 10 AM Tue,19.0,5.0,https://lh5.googleusercontent.com/p/AF1QipM17MwNxWoDWYzw1JBTCQkqW-ncDmfBiVNQnX65=w80-h106-k-no,https://www.google.com/maps/place/Arya%20Therapy%20Services/data=!4m7!3m6!1s0x8890c028deac5cb7:0xccbf4f9df15dbe02!8m2!3d30.490683899999997!4d-87.3047584!16s/g/11bbrmn7kp!19sChIJt1ys3ijAkIgRAr5d8Z1Pv8w?authuser=0&hl=en&rclk=1,US
DiamondAir international,Corporate office,"World Business Centre 3 Heathrow, Newall Rd, London, Longford, Hounslow TW6 2TA, United Kingdom",http://diamondairinternational.com/,+44 20 8897 9183,"{""Friday"":""Open 24 hours"",""Monday"":""Open 24 hours"",""Saturday"":""Open 24 hours"",""Sunday"":""Open 24 hours"",""Thursday"":""Open 24 hours"",""Tuesday"":""Open 24 hours"",""Wednesday"":""Open 24 hours""}",Open 24 hours,7.0,4.7,https://lh5.googleusercontent.com/p/AF1QipM-VfQBqGdLPtem0wjlN_9m_KwgO7h-rm8I3KHy=w80-h142-k-no,https://www.google.com/maps/place/DiamondAir%20international/data=!4m7!3m6!1s0x4876724f33516ba3:0x2664755b9b5ff5d2!8m2!3d51.480478299999994!4d-0.44119949999999997!16s/g/11b5pjrm5z!19sChIJo2tRM09ydkgR0vVfm1t1ZCY?authuser=0&hl=en&rclk=1,GB
City Nails & Spa Buford,Nail salon,"4108 Hamilton Mill Rd Suite 240, Buford, GA 30519",http://www.citynailsatl.com/,(678) 765-2803,"{""Friday"":""9:30 AM–7:30 PM"",""Monday"":""9:30 AM–7:30 PM"",""Saturday"":""9:30 AM–7:30 PM"",""Sunday"":""12–6 PM"",""Thursday"":""9:30 AM–7:30 PM"",""Tuesday"":""9:30 AM–7:30 PM"",""Wednesday"":""9:30 AM–7:30 PM""}",Closed ⋅ Opens 9:30 AM,210.0,4.3,https://lh5.googleusercontent.com/p/AF1QipMAf4kTXPccvBXvAMuIkoPOmsFZK345Y6i1fkZP=w122-h92-k-no,https://www.google.com/maps/place/City%20Nails%20&%20Spa%20Buford/data=!4m7!3m6!1s0x88f593619457d503:0xe2f1423e16e37518!8m2!3d34.103486499999995!4d-83.9751757!16s/g/11j9n4k3r7!19sChIJA9VXlGGT9YgRGHXjFj5C8eI?authuser=0&hl=en&rclk=1,US
Petco,Pet supply store,"3300 Broadway St Suite 20e, Eureka, CA 95501",https://stores.petco.com/ca/eureka/pet-supplies-eureka-ca-1307.html,+17074451256,"{""Friday"":""9 AM–8 PM"",""Monday"":""9 AM–8 PM"",""Saturday"":""9 AM–8 PM"",""Sunday"":""10 AM–7 PM"",""Thursday"":""9 AM–8 PM"",""Tuesday"":""9 AM–8 PM"",""Wednesday"":""9 AM–8 PM""}",Open ⋅ Closes 8 PM,870.0,4.1,https://lh5.googleusercontent.com/p/AF1QipO-F00DyG0PyBXVKhWX1IvajzgABI6yo_mRs2jZ=w163-h92-k-no,https://www.google.com/maps/place/Petco/data=!4m7!3m6!1s0x54d400085c5ad789:0x220f87f94b3868ce!8m2!3d40.7793462!4d-124.1901201!16s%2Fg%2F1thmf3n7!19sChIJiddaXAgA1FQRzmg4S_mHDyI?authuser=0&hl=en&rclk=1,US
Owens & Minor Inc,Medical supply store,"11440 E 56th Ave # 150, Denver, CO 80239",https://www.owens-minor.com/,(303) 576-4200,"{""Friday"":""12:30–11 PM"",""Monday"":""12:30–11 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""12:30–11 PM"",""Tuesday"":""12:30–11 PM"",""Wednesday"":""12:30–11 PM""}",Closed ⋅ Opens 12:30 PM,10.0,2.4,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mnu3iPu0VmZKbWYlv4D-cQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=96.69615&pitch=0&thumbfov=100,https://www.google.com/maps/place/Owens%20&%20Minor%20Inc/data=!4m7!3m6!1s0x876c7ad7753c1455:0xaddc14ec531e8020!8m2!3d39.7970946!4d-104.8552158!16s/g/1tcwrmsb!19sChIJVRQ8ddd6bIcRIIAeU-wU3K0?authuser=0&hl=en&rclk=1,US
PHYSIQA,Physical fitness program,"4171 Piedmont Ave, Oakland, CA 94611",http://physiqa.com/,(510) 967-8100,"{""Friday"":""9 AM–7:30 PM"",""Monday"":""9 AM–7:30 PM"",""Saturday"":""9 AM–12 PM"",""Sunday"":""9 AM–12 PM"",""Thursday"":""9 AM–7:30 PM"",""Tuesday"":""9 AM–7:30 PM"",""Wednesday"":""9 AM–7:30 PM""}",Temporarily closed,2.0,5.0,https://lh5.googleusercontent.com/p/AF1QipMaOoLiQXJnbUS81IXei2WhRDSVv4n_lULlXidn=w247-h92-k-no,https://www.google.com/maps/place/PHYSIQA/data=!4m7!3m6!1s0x80857df721016bb7:0x303971700db6fe8b!8m2!3d37.827422999999996!4d-122.25142699999999!16s/g/1q670br2l!19sChIJt2sBIfd9hYARi_62DXBxOTA?authuser=0&hl=en&rclk=1,US
Sylvain Roche Informatique PARTICULIER,Computer store,"131 Bd Jean Jaurès, 42170 Saint-Just-Saint-Rambert, France",https://roche-info.com/,+33 4 77 10 90 46,"{""Friday"":""9 AM–12:30 PM"",""Monday"":""9 AM–12 PM"",""Saturday"":""9 AM–12 PM"",""Sunday"":""Closed"",""Thursday"":""9 AM–12:30 PM"",""Tuesday"":""9 AM–12:30 PM"",""Wednesday"":""9 AM–12:30 PM""}",Closed ⋅ Opens 9 AM,21.0,4.2,https://lh5.googleusercontent.com/p/AF1QipMF3cZlPccz2CQJTP6K9fo5Ee-VxlI5gSGqiyP9=w163-h92-k-no,https://www.google.com/maps/place/Sylvain%20Roche%20Informatique%20PARTICULIER/data=!4m7!3m6!1s0x47f5b33745411501:0xd3c8bfb4c27fa03e!8m2!3d45.5125567!4d4.263144!16s/g/11k5sw82tj!19sChIJARVBRTez9UcRPqB_wrS_yNM?authuser=0&hl=en&rclk=1,FR
Maertz Sales & Repair,RV repair shop,"21017 Co Rd K, Reedsville, WI 54230",https://maertzsalesandrepair.com/,(920) 864-7000,"{""Friday"":""8 AM–4 PM"",""Monday"":""8 AM–5 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""8 AM–5 PM"",""Tuesday"":""8 AM–5 PM"",""Wednesday"":""8 AM–5 PM""}",Open ⋅ Closes 5 PM,21.0,4.9,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IHI8BxHwbVqyyTw2WLhqXw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=180.61641&pitch=0&thumbfov=100,https://www.google.com/maps/place/Maertz%20Sales%20&%20Repair/data=!4m7!3m6!1s0x880310795df4384b:0xd16109e4ca9a712a!8m2!3d44.225110199999996!4d-87.9837235!16s/g/1tjtjvjp!19sChIJSzj0XXkQA4gRKnGayuQJYdE?authuser=0&hl=en&rclk=1,US
The Runnery,Running store,"5361 Alpine Ave NW, Comstock Park, MI 49321",http://www.therunnery.com/,(616) 785-7880,"{""Friday"":""10 AM–6 PM"",""Monday"":""10 AM–6 PM"",""Saturday"":""10 AM–3 PM"",""Sunday"":""Closed"",""Thursday"":""10 AM–6 PM"",""Tuesday"":""10 AM–6 PM"",""Wednesday"":""10 AM–6 PM""}",Closed ⋅ Opens 10 AM,50.0,4.6,https://lh5.googleusercontent.com/p/AF1QipMp_y-0LF7DnWdSjRJe2Z9MBboQf1O48jRmiVCt=w122-h92-k-no,https://www.google.com/maps/place/The%20Runnery/data=!4m7!3m6!1s0x8819a9843d276f1b:0x463150d768a7bc02!8m2!3d43.060821!4d-85.69102699999999!16s/g/1tj3lprv!19sChIJG28nPYSpGYgRArynaNdQMUY?authuser=0&hl=en&rclk=1,US
Lamoda International Hair Design,Beauty salon,"20091 Mack Ave, Grosse Pointe Woods, MI 48236",aretee-michigan-spa.com,+13138861650,"""{}""",,20.0,4.5,https://lh5.googleusercontent.com/p/AF1QipO6S4dPevm68FGt-ttic4rzix86us4NpAgEv30Y=w408-h306-k-no,https://www.google.com/maps/place/Lamoda+International+Hair+Design/data=!4m6!3m5!1s0x8824d620c5b0a951:0x4f60069e2d65f1b3!8m2!3d42.4338872!4d-82.9088542!16s%2Fg%2F1tnpg1gr?hl=en,US
Osteria Dell'Unione,Piedmontese restaurant,"Via Alba, 1, 12050 Treiso CN, Italy",http://www.osteriadellunione.it/,+39 0173 638303,"{""Friday"":""12:30–2:30 PM"",""Monday"":""Closed"",""Saturday"":""12:30–2:30 PM"",""Sunday"":""12:30–2:30 PM"",""Thursday"":""7:30–11 PM"",""Tuesday"":""7:30–11 PM"",""Wednesday"":""12:30–2:30 PM""}",Closed ⋅ Opens 7:30 PM,303.0,4.3,https://lh5.googleusercontent.com/p/AF1QipONubpPUVIq5z3TA0l7UurQJuhenme7tU3ILjyA=w94-h92-k-no,https://www.google.com/maps/place/Osteria%20Dell'Unione/data=!4m7!3m6!1s0x12d2b4e3b23bfb9f:0x6067803076cb227d!8m2!3d44.688809!4d8.087112!16s/g/1ttl0p12!19sChIJn_s7suO00hIRfSLLdjCAZ2A?authuser=0&hl=en&rclk=1,IT
Zafran Indian,Indian takeaway,"809 London Rd, Westcliff-on-Sea, Southend-on-Sea, Westcliff-on-Sea SS0 9SY",https://zafrantakeaway.co.uk/,01702 471068,"{""Friday"":""5–10:30 pm"",""Monday"":""5–10:30 pm"",""Saturday"":""5–10:30 pm"",""Sunday"":""5–10:30 pm"",""Thursday"":""5–10:30 pm"",""Tuesday"":""Closed"",""Wednesday"":""5–10:30 pm""}",Closed ⋅ Opens 5 pm,69.0,3.7,https://lh5.googleusercontent.com/p/AF1QipP_E2YHLeoEOUBN70caMzeeIIl3ogGryH2-2dvx=w138-h92-k-no,https://www.google.com/maps/place/Zafran%20Indian/data=!4m7!3m6!1s0x47d8d99a8ac82ebb:0xce9d0188ce59b9ab!8m2!3d51.5459302!4d0.6769037999999999!16s/g/1tf30nrf!19sChIJuy7IiprZ2EcRq7lZzogBnc4?authuser=0&hl=en&rclk=1,GB
5 Stars Pro | Luxury Rentals,Car rental agency,"401 NE Mizner Blvd, Boca Raton, FL 33432",http://www.5starspro.com/,,"{""Friday"":""Open 24 hours"",""Monday"":""Open 24 hours"",""Saturday"":""Open 24 hours"",""Sunday"":""Open 24 hours"",""Thursday"":""Open 24 hours"",""Tuesday"":""Open 24 hours"",""Wednesday"":""Open 24 hours""}",Open 24 hours,13.0,5.0,https://lh5.googleusercontent.com/p/AF1QipOGMl_kMxeCAHJwhydar9rhOz0DtaCwquvR6027=w157-h92-k-no,https://www.google.com/maps/place/5%20Stars%20Pro%20|%20Luxury%20Rentals/data=!4m7!3m6!1s0x88d8e3baae8d9ded:0xf2d0fe79bc2e2cf3!8m2!3d26.354455299999998!4d-80.0842808!16s/g/11sx4sglyj!19sChIJ7Z2Nrrrj2IgR8ywuvHn-0PI?authuser=0&hl=en&rclk=1,US
Sarah's Styles,Beauty salon,"1009 NW J St, Bentonville, AR 72712",,(479) 464-4247,"{""Friday"":""9 AM–5 PM"",""Monday"":""Closed"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""9 AM–5 PM"",""Tuesday"":""Closed"",""Wednesday"":""9 AM–5 PM""}",Closed ⋅ Opens 9 AM Wed,43.0,4.9,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0gGXDAfTadS_QfywGGPtPQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=259.4026&pitch=0&thumbfov=100,https://www.google.com/maps/place/Sarah's%20Styles/data=!4m7!3m6!1s0x87c91ac7fd3476c3:0x363897e0e2d2e873!8m2!3d36.3844436!4d-94.22319399999999!16s/g/1tl9n2sz!19sChIJw3Y0_ccayYcRc-jS4uCXODY?authuser=0&hl=en&rclk=1,US
Travis & Sons Plumbing,Plumber,"1802 N Carson St #7500, Carson City, NV 89701",,(775) 227-4231,"{""Friday"":""Open 24 hours"",""Monday"":""Open 24 hours"",""Saturday"":""Open 24 hours"",""Sunday"":""Open 24 hours"",""Thursday"":""Open 24 hours"",""Tuesday"":""Open 24 hours"",""Wednesday"":""Open 24 hours""}",Open 24 hours,6.0,4.5,https://lh5.googleusercontent.com/p/AF1QipOo4tTh77aKU2Lw9aFg3yOObpnDdu935Cek7qlK=w126-h92-k-no,https://www.google.com/maps/place/Travis%20&%20Sons%20Plumbing/data=!4m7!3m6!1s0x80990bcb984e64b1:0x33ea8e89827492ff!8m2!3d39.1764723!4d-119.7676662!16s/g/11kz5pxkl5!19sChIJsWROmMsLmYAR_5J0gomO6jM?authuser=0&hl=en&rclk=1,US
AG Specialists,Grain elevator,"1407 Whitewater Ave, St Charles, MN 55972",,(507) 932-4800,"{""Friday"":""7 AM–5 PM"",""Monday"":""7 AM–5 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""7 AM–5 PM"",""Tuesday"":""7 AM–5 PM"",""Wednesday"":""7 AM–5 PM""}",Open ⋅ Closes 5 PM,9.0,4.8,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NOuI6CtIvu_8I1lAkwA11g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=87.02593&pitch=0&thumbfov=100,https://www.google.com/maps/place/AG%20Specialists/data=!4m7!3m6!1s0x87f9917e2ae0a005:0x30d0bcc69638d5b9!8m2!3d43.964487!4d-92.064494!16s/g/1thp8k2j!19sChIJBaDgKn6R-YcRudU4lsa80DA?authuser=0&hl=en&rclk=1,US
BigTurns Professional Services Ltd,E-commerce service,"1455 Howe St #2002, Vancouver, BC V6Z 1C2, Canada",bigturns.com,+18883244012,"""{\""Friday\"":\""9AM to 5PM\"",\""Monday\"":\""9AM to 5PM\"",\""Saturday\"":\""Closed\"",\""Sunday\"":\""Closed\"",\""Thursday\"":\""9AM to 5PM\"",\""Tuesday\"":\""9AM to 5PM\"",\""Wednesday\"":\""9AM to 5PM\""}""",,10.0,5.0,https://lh5.googleusercontent.com/p/AF1QipPvgFCEclhuQwEr1Q9fF6AebQGs3xm-OdiXujDF=w428-h240-k-no,https://www.google.com/maps/place/BigTurns+Professional+Services+Ltd/data=!4m6!3m5!1s0x548673d312b4eff9:0x8ff5c7b2be627292!8m2!3d49.2753642!4d-123.1311918!16s%2Fg%2F12ml2yndy,US
BiS Valves Ltd,Manufacturer,"Kingfisher Park, Units 17-23, Collingwood Rd, Wimborne BH21 6US",https://www.bisvalves.co.uk/,01202 896322,,,3.0,4.7,https://lh5.googleusercontent.com/p/AF1QipOzcl59nrehrmUqPd8R1hIwWtDAcRtHQWhd43l8=w122-h92-k-no,https://www.google.com/maps/place/BiS%20Valves%20Ltd/data=!4m7!3m6!1s0x487397fd3c4317ef:0x7f7703e8ffd300a4!8m2!3d50.8400724!4d-1.8824054!16s/g/1vyxhwdg!19sChIJ7xdDPP2Xc0gRpADT_-gDd38?authuser=0&hl=en&rclk=1,GB
"The Law Offices of Doroshow, Pasquale, Krawitz & Bhaya",Bankruptcy attorney,"1202 Kirkwood Hwy, Wilmington, DE 19805",http://www.dplaw.com/?utm_source=GMBlisting&utm_medium=organic,(302) 998-0100,"{""Friday"":""8:30 AM–5 PM"",""Monday"":""8:30 AM–5 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""8:30 AM–5 PM"",""Tuesday"":""8:30 AM–5 PM"",""Wednesday"":""8:30 AM–5 PM""}",Open ⋅ Closes 5 PM,41.0,4.4,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CotKijbW5NPDiECP1Yd6fQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=186.83&pitch=0&thumbfov=100,"https://www.google.com/maps/place/The%20Law%20Offices%20of%20Doroshow,%20Pasquale,%20Krawitz%20&%20Bhaya/data=!4m7!3m6!1s0x89c6fdf3711618f1:0xc557cf6565fbb276!8m2!3d39.739053!4d-75.5999978!16s/g/1tm0cs62!19sChIJ8RgWcfP9xokRdrL7ZWXPV8U?authuser=0&hl=en&rclk=1",US
Turnagain Arm Pit BBQ,Barbecue restaurant,"27957 Seward Hwy, Indian, AK 99540",http://www.turnagainarmpitbbq.com/,(907) 301-1870,"{""Friday"":""12–8 PM"",""Monday"":""Closed"",""Saturday"":""12–8 PM"",""Sunday"":""12–8 PM"",""Thursday"":""12–8 PM"",""Tuesday"":""Closed"",""Wednesday"":""12–8 PM""}",Permanently closed,320.0,4.5,https://lh5.googleusercontent.com/p/AF1QipPpxyq2rWhLpX8g72ytrWcP1SfMVWnrGMU6EBNv=w122-h92-k-no,https://www.google.com/maps/place/Turnagain%20Arm%20Pit%20BBQ/data=!4m7!3m6!1s0x56c886e9c816ce61:0x70ea663beff3e304!8m2!3d60.9864349!4d-149.5040893!16s/g/11dxdxc8kf!19sChIJYc4WyOmGyFYRBOPz7ztm6nA?authuser=0&hl=en&rclk=1,US
"Legal E, Inc.",Employment agency,"1001 Connecticut Ave NW, Washington, DC 20036",http://www.mylegale.com/,(202) 319-1500,"{""Friday"":""8:30 AM–5:30 PM"",""Monday"":""8:30 AM–5:30 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""8:30 AM–5:30 PM"",""Tuesday"":""8:30 AM–5:30 PM"",""Wednesday"":""8:30 AM–5:30 PM""}",Closed ⋅ Opens 8:30 AM Mon,5.0,5.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9Ona6Bi6HfmWMkHMxE5Yfg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=16.394361&pitch=0&thumbfov=100,"https://www.google.com/maps/place/Legal%20E,%20Inc./data=!4m7!3m6!1s0x89b7b7e9c87f04c5:0x8f0ebea832baa309!8m2!3d38.9028855!4d-77.0390405!16s/g/1v3lqvqx!19sChIJxQR_yOm3t4kRCaO6Mqi-Do8?authuser=0&hl=en&rclk=1",US
United States Postal Service,Logistics service,"37 1st Ave NE, Mayville, ND 58257",https://tools.usps.com/find-location.htm?location=1372256&utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext&y_source=1_MzM3NjYxMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(800) 275-8777,"{""Friday"":""9 AM–12:15 PM"",""Monday"":""9 AM–12:15 PM"",""Saturday"":""9–9:45 AM"",""Sunday"":""Closed"",""Thursday"":""9 AM–12:15 PM"",""Tuesday"":""9 AM–12:15 PM"",""Wednesday"":""9 AM–12:15 PM""}",Closed ⋅ Opens 9 AM,6.0,1.8,https://lh5.googleusercontent.com/p/AF1QipPs-HiyUdzkO7jHOyLDOYo665IeQCyZ0Y1_ZRu1=w80-h106-k-no,https://www.google.com/maps/place/United%20States%20Postal%20Service/data=!4m7!3m6!1s0x52c5e98802f88407:0x8b47e7c7c5e2b7c!8m2!3d47.5009794!4d-97.3254784!16s/g/1tf6rfs1!19sChIJB4T4AojpxVIRfCtefHx-tAg?authuser=0&hl=en&rclk=1,US
Little Longhorns Daycare,Day care center,"10330 Blackhawk Blvd, Houston, TX 77089",http://www.thelittlelonghorns.com/,(281) 412-4411,"{""Friday"":""6 AM–6:30 PM"",""Monday"":""6 AM–6:30 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""6 AM–6:30 PM"",""Tuesday"":""6 AM–6:30 PM"",""Wednesday"":""6 AM–6:30 PM""}",Closed ⋅ Opens 6 AM Mon,14.0,3.1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oudSdAPOHAlZVVLCLy0XFg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=281.42514&pitch=0&thumbfov=100,https://www.google.com/maps/place/Little%20Longhorns%20Daycare/data=!4m7!3m6!1s0x864090b4ced2b559:0x38bbd662008eb61f!8m2!3d29.59272!4d-95.2437234!16s/g/1tl8l2f7!19sChIJWbXSzrSQQIYRH7aOAGLWuzg?authuser=0&hl=en&rclk=1,US
